datetime,symbol,open,high,low,close,volume,symbol_group,asset_class,expiry
2017-06-20 00:00:00+00:00,AAPL,145.18,145.18,143.27,143.34,24900100,AAPL,STK,
2017-06-21 00:00:00+00:00,AAPL,143.85,144.39,142.95,144.19,21265800,AAPL,STK,
2017-06-22 00:00:00+00:00,AAPL,144.09,145.01,143.45,143.95,19106300,AAPL,STK,
2017-06-23 00:00:00+00:00,AAPL,143.46,145.47,143.44,144.6,35439400,AAPL,STK,
2017-06-26 00:00:00+00:00,AAPL,145.48,146.57,143.71,144.14,25692400,AAPL,STK,
2017-06-27 00:00:00+00:00,AAPL,143.34,144.48,141.97,142.08,24761900,AAPL,STK,
2017-06-28 00:00:00+00:00,AAPL,142.83,144.43,141.51,144.15,22082400,AAPL,STK,
2017-06-29 00:00:00+00:00,AAPL,143.04,143.46,140.64,142.03,31499400,AAPL,STK,
2017-06-30 00:00:00+00:00,AAPL,142.79,143.29,142.13,142.36,23024100,AAPL,STK,
2017-07-03 00:00:00+00:00,AAPL,143.21,143.63,141.45,141.85,14258300,AAPL,STK,
2017-07-05 00:00:00+00:00,AAPL,142.04,143.12,141.08,142.43,21569600,AAPL,STK,
2017-07-06 00:00:00+00:00,AAPL,141.37,141.85,140.77,141.09,24128800,AAPL,STK,
2017-07-07 00:00:00+00:00,AAPL,141.26,143.08,141.26,142.52,19201700,AAPL,STK,
2017-07-10 00:00:00+00:00,AAPL,142.45,144.27,141.72,143.39,21090600,AAPL,STK,
2017-07-11 00:00:00+00:00,AAPL,143.06,144.17,142.72,143.85,19781800,AAPL,STK,
2017-07-12 00:00:00+00:00,AAPL,144.19,144.5,143.15,144.06,24884500,AAPL,STK,
2017-07-13 00:00:00+00:00,AAPL,143.83,146.78,143.77,146.07,25199400,AAPL,STK,
2017-07-14 00:00:00+00:00,AAPL,146.27,147.61,145.63,147.32,20132100,AAPL,STK,
2017-07-17 00:00:00+00:00,AAPL,147.11,149.16,146.86,147.84,23793500,AAPL,STK,
2017-07-18 00:00:00+00:00,AAPL,147.48,148.4,146.96,148.35,17868800,AAPL,STK,
2017-07-19 00:00:00+00:00,AAPL,148.75,149.68,148.22,149.28,20923000,AAPL,STK,
